,title,price,link
10,"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Blue, 1.76 Kg  ","25,990",www.amazon.in/ZEBRONICS-Processor-15-6-Inch-Display-Battery/dp/B0CJJCT1PT/ref=sr_1_77?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-77
11,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","55,990",www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_78?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-78
12,"HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver,14-dv2015TU  ","78,850",www.amazon.in/HP-Pavilion-Micro-Edge-Graphics-14-dv2015TU/dp/B0B1MBFJJ2/ref=sr_1_79?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-79
13,"ZEBRONICS PRO Series Z NBC 4S, Intel Core 12th Gen i5 Processor 16GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg  ","32,990",www.amazon.in/ZEBRONICS-4S-16GB-Midnight-Blue/dp/B0CJ74TL53/ref=sr_1_80?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-80
14,"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN  ","47,990",www.amazon.in/MSI-i7-1255U-Windows-Graphics-C12M-459IN/dp/B09YCX5F52/ref=sr_1_81?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-81
15,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","16,799",www.amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_7?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.fqCoVUInmrOM2rwjNyfhkGZ0betsjBF1OJtxP5lalVMjHJvBFGIgr7v7_HAuGYWwkDiMpQD3GcbNzJKfTBREqcN_MXdd8MgbhRfj4d16p1zS-timDo_eiPEGE0hyeMcPrtTi5iShizKa0ztmYGfFc1-XZaUYR-WxuCpgcH_o5tkuBjCwUP-RnU2A-BGSvM972tQK1sp93LmmVGEwTnIgVa3wjO6945wX_Zzf_IRFjl4.cNTrKzZLAB7BpbIDaOqnVEBTIOwLR9aMWDx-geZeW5U&dib_tag=se&keywords=laptop&qid=1719411159&sprefix=lap%2Caps%2C194&sr=8-7
16,"Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i7 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4060) PHN16-72 with 40.64 cm (16"") WQXGA Display  ","1,47,999",www.amazon.in/Acer-Predator-Processor-Windows-PHN16-72/dp/B0CXPXW4VY/ref=sr_1_82?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-82
17,"Lenovo LOQ 2024 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (24GB/512GB SSD/Win 11/NVIDIA RTX 4060 8GB/100% sRGB/Office 2021/3 Month Game Pass/Grey/2.4Kg), 83DV00LXIN  ","1,09,990",www.amazon.in/Lenovo-i7-13650HX-39-6cm-300Nits-83DV00LXIN/dp/B0D3TGNY9G/ref=sr_1_83?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-83
18,"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg  ","25,990",www.amazon.in/ZEBRONICS-Processor-15-6-Inch-Display-Midnight/dp/B0CJJ7YZMC/ref=sr_1_84?crid=3IVMJHJ84VNQX&dib=eyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ&dib_tag=se&keywords=laptop&qid=1719411177&sprefix=lap%2Caps%2C194&sr=8-84
19,"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1 (Upto 3.6GHz), WIFI 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)  ","27,990",www.amazon.in/sspa/click?ie=UTF8&spc=MTozODg0NjA3MzAzMTExNzc6MTcxOTQxMTE3NzpzcF9idGY6MzAwMTU2MDU2NTg3NTMyOjowOjo&url=%2FChuwi-CoreBook-i5-1035G1-Keyboard-Bluetooth%2Fdp%2FB0CNT6LD6W%2Fref%3Dsr_1_85_sspa%3Fcrid%3D3IVMJHJ84VNQX%26dib%3DeyJ2IjoiMSJ9.wV5triHlpAtJxOw8L-rIGuIb9U0LRLgyB9JsyUpfwDrJR-u3msjRujFYvbOJbQ3Dmm-vXBPvoQKf2OyOG-N8KGW5epmcg6P-OAZrrg__OLoxyDKZAHWTfYAuB4gtwlTGPvw7z_2-WmgZTagxk_XXFpVQ62oVuugONueyh6SLkSnggJlQXrPbxalzDdvSyHDZJ0Whx88MORpoG0u4jtTglMPlq1_RB29yqck_q20wx_k.JUhnWtrdokLVd0aoTDCKIfknbXywcxqYHXrp0Y97sAQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719411177%26sprefix%3Dlap%252Caps%252C194%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
